Server,HTTPS,Anonymous,Google,Country
103.102.14.172:8080,True,False,False,ID
117.240.28.81:8080,False,False,False,IN
186.225.63.241:8080,False,False,False,BR
46.191.226.105:3128,False,False,False,RU
202.51.181.82:8080,False,False,False,BD
91.217.202.174:8080,True,False,False,RU
178.219.118.156:8080,False,False,False,PL
110.74.203.249:8080,False,False,False,KH
163.172.47.182:3128,True,False,False,FR
103.121.58.235:3128,False,False,False,ID
103.240.161.109:6666,True,True,False,IN
177.46.148.126:3128,False,False,False,BR
62.201.226.186:8080,True,False,False,IQ
190.210.8.69:8080,False,False,False,AR
140.238.28.179:3128,False,False,True,KR
191.252.201.50:3128,False,False,True,BR
103.245.195.177:8080,False,False,False,PK
142.93.151.119:3128,False,False,False,CA
154.127.36.138:8080,True,False,False,BJ
167.179.110.13:3128,True,False,True,JP
61.220.204.25:3128,False,False,False,TW
34.68.180.189:3128,False,False,False,US
183.88.134.65:8080,False,False,False,TH
34.86.94.29:3128,False,False,False,US
202.142.178.98:8080,False,False,False,PK
1.186.40.2:54754,False,False,True,IN
45.76.184.96:8080,True,False,True,SG
5.58.81.19:8080,False,False,True,UA
109.160.76.1:8080,False,False,False,BG
101.109.31.203:8080,False,False,False,TH
114.79.146.137:8080,False,False,False,IN
116.0.54.30:8080,False,False,False,PK
36.73.88.247:8080,True,False,True,ID
165.227.140.6:3128,False,False,False,DE
31.25.138.23:8080,False,False,False,IQ
193.200.151.69:48241,False,False,False,UA
46.101.38.198:3128,False,False,True,GB
83.96.237.121:80,False,False,True,NL
5.59.136.230:8080,False,False,False,RU
79.106.48.44:8080,True,False,False,AL
103.121.224.11:8080,True,False,False,MM
178.214.12.140:8080,True,False,False,PL
177.220.188.213:8080,False,False,False,BR
195.201.150.251:3128,True,False,False,DE
139.180.218.181:3128,False,False,True,SG
103.213.116.145:8080,True,True,False,ID
34.66.105.4:8080,False,False,True,US
159.192.96.254:8080,False,False,False,TH
213.79.122.108:8080,False,False,False,RU
203.192.199.114:8080,True,False,True,IN
201.49.72.226:8080,True,False,False,BR
45.77.3.139:3128,False,False,False,US
144.76.179.71:8080,False,False,False,DE
13.66.249.59:3128,False,False,True,US
45.77.1.237:3128,False,False,False,US
206.189.159.198:3128,True,False,True,SG
190.60.104.218:3128,True,False,True,CO
110.44.118.134:8080,True,False,False,NP
45.63.91.214:3128,True,True,False,US
185.234.72.143:3128,False,False,True,DE
142.147.125.30:8080,False,False,False,US
121.125.54.228:3128,False,False,True,KR
106.0.49.202:8080,False,False,False,ID
217.197.121.35:3128,True,False,True,RU
103.89.152.190:8080,False,False,False,AF
92.46.63.232:3128,False,False,True,KZ
34.198.110.128:3128,False,False,False,US
139.5.31.204:8080,False,False,False,IN
116.17.102.132:3128,False,False,False,CN
85.238.99.133:3128,True,False,True,UA
177.8.179.9:8080,False,False,False,BR
113.212.164.140:8080,True,False,True,ID
177.220.156.42:3128,True,False,True,BR
176.98.20.50:8080,False,False,False,UA
91.93.135.113:8080,True,False,False,TR
96.9.87.111:8080,False,False,False,KH
41.220.114.154:8080,True,False,False,KE
180.183.5.177:8080,False,False,False,TH
109.86.182.203:3128,False,False,False,UA
119.42.125.181:8080,True,False,False,TH
146.120.214.62:8080,False,False,False,PL
91.201.74.62:8080,False,False,False,RU
200.24.130.34:8080,True,False,True,EC
